Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT00175","ALOX5","None","arachidonate 5-lipoxygenase","Arachidonate 5-lipoxygenase","ENSG00000012779","P09917","0.0120472","0.0293809","1.0","By_ingredient","0.5265"
"SMTT00177","ALPL","1","Alkaline Phosphatase, Liver/bone/kidney","Alkaline Phosphatase, Tissue-nonspecific Isozyme","ENSG00000162551","P05186","0.00326043","0.0307125","1.0","By_ingredient","0.4195"
"SMTT00226","APAF1","None","apoptotic peptidase activating factor 1","Apoptotic Protease-activating Factor 1","ENSG00000120868","O14727","0.022065","0.041685","1.0","By_ingredient","0.1763"
"SMTT00227","APC","5","APC, WNT Signaling Pathway Regulator","None","ENSG00000134982","None","0.00556208","0.0199051","1.0","By_ingredient","0.183"
"SMTT00244","AR","X","Androgen Receptor","Androgen Receptor","ENSG00000169083","P10275","0.546989","0.578673","1.0","By_ingredient","5.2569"
"SMTT00341","BAD","None","BCL2 associated agonist of cell death","Bcl2-associated Agonist Of Cell Death","ENSG00000002330","Q92934","0.0489691","0.0713972","1.0","By_ingredient","0.1577"
"SMTT00356","BCHE","None","butyrylcholinesterase","Cholinesterase","ENSG00000114200","P06276","0.761077","0.784456","1.0","By_ingredient","0.1904"
"SMTT00361","BCL2","18","BCL2, Apoptosis Regulator","Apoptosis Regulator Bcl-2","ENSG00000171791","P10415","0.000935361","0.012416","1.0","By_ingredient","1.1799"
"SMTT00362","BCL2L1","None","BCL2 like 1","Bcl-2-like Protein 1","ENSG00000171552","Q07817","0.16358","0.190114","1.0","By_ingredient","0.1566"
"SMTT00409","BTK","X","Bruton Tyrosine Kinase","Tyrosine-protein Kinase BTK","ENSG00000010671","Q06187","0.000453161","0.00414471","1.0","By_ingredient","0.3905"
"SMTT00436","CA2","8","Carbonic Anhydrase 2","Carbonic Anhydrase 2","ENSG00000104267","P00918","3.41504e-07","3.81259e-05","0.141218","By_ingredient","7.6738"
"SMTT00443","CACNA1A","19","Calcium Voltage-gated Channel Subunit Alpha1 A","Voltage-dependent P/Q-type Calcium Channel Subunit Alpha-1A","ENSG00000141837","O00555","0.014382","0.0541202","1.0","By_ingredient","0.1986"
"SMTT00444","CACNA1B","9","Calcium Voltage-gated Channel Subunit Alpha1 B","Voltage-dependent N-type Calcium Channel Subunit Alpha-1B","ENSG00000148408","Q00975","0.0214956","0.0635209","1.0","By_ingredient","0.2235"
"SMTT00445","CACNA1C","12","Calcium Voltage-gated Channel Subunit Alpha1 C","Voltage-dependent L-type Calcium Channel Subunit Alpha-1C","ENSG00000151067","Q13936","0.0425316","0.084074","1.0","By_ingredient","0.2152"
"SMTT00446","CACNA1D","3","Calcium Voltage-gated Channel Subunit Alpha1 D","Voltage-dependent L-type Calcium Channel Subunit Alpha-1D","ENSG00000157388","Q01668","0.0285582","0.0706678","1.0","By_ingredient","0.1937"
"SMTT00447","CACNA1F","X","Calcium Voltage-gated Channel Subunit Alpha1 F","Voltage-dependent L-type Calcium Channel Subunit Alpha-1F","ENSG00000102001","O60840","0.0214956","0.0635209","1.0","By_ingredient","0.2132"
"SMTT00448","CACNA1G","17","Calcium Voltage-gated Channel Subunit Alpha1 G","Voltage-dependent T-type Calcium Channel Subunit Alpha-1G","ENSG00000006283","O43497","0.014382","0.0541202","1.0","By_ingredient","0.2182"
"SMTT00449","CACNA1H","None","calcium voltage-gated channel subunit alpha1 H","Voltage-dependent T-type Calcium Channel Subunit Alpha-1H","ENSG00000196557","O95180","0.0494431","0.0904099","1.0","By_ingredient","0.2037"
"SMTT00461","CALM3","19","Calmodulin 3","None","ENSG00000160014","None","0.00260888","0.0137123","1.0","By_ingredient","1.7344"
"SMTT00478","CASP10","2","Caspase 10","None","ENSG00000003400","None","0.0494431","0.0904099","1.0","By_ingredient","0.2676"
"SMTT00480","CASP3","None","caspase 3","Caspase-3","ENSG00000164305","P42574","0.00239458","0.0190975","1.0","By_ingredient","1.3515"
"SMTT00482","CASP8","2","Caspase 8","Caspase-8","ENSG00000064012","Q14790","0.0341535","0.075886","1.0","By_ingredient","0.5652"
"SMTT00488","CATSPER1","11","Cation Channel Sperm Associated 1","None","ENSG00000175294","None","0.000154685","0.00448062","1.0","By_ingredient","0.4075"
"SMTT00520","CCNA2","None","cyclin A2","Cyclin-A2","ENSG00000145386","P20248","0.118766","0.144347","1.0","By_ingredient","1.7869"
"SMTT00521","CCND1","11","Cyclin D1","G1/S-specific Cyclin-D1","ENSG00000110092","P24385","0.0249138","0.0450394","1.0","By_ingredient","0.3187"
"SMTT00522","CCND2","12","Cyclin D2","None","ENSG00000118971","None","0.022065","0.041685","1.0","By_ingredient","0.1847"
"SMTT00537","CD274","None","CD274 molecule","Programmed Cell Death 1 Ligand 1","ENSG00000120217","Q9NZQ7","0.00224423","0.0251622","1.0","By_ingredient","0.3809"
"SMTT00547","CD40LG","X","CD40 Ligand","CD40 Ligand","ENSG00000102245","P29965","0.0275055","0.0481784","1.0","By_ingredient","0.189"
"SMTT00569","CDK2","None","cyclin dependent kinase 2","Cyclin-dependent Kinase 2","ENSG00000123374","P24941","0.242687","0.271379","1.0","By_ingredient","2.852"
"SMTT00570","CDK4","12","Cyclin Dependent Kinase 4","Cyclin-dependent Kinase 4","ENSG00000135446","P11802","0.0120472","0.0293809","1.0","By_ingredient","0.3333"
"SMTT00574","CDK6","7","Cyclin Dependent Kinase 6","Cyclin-dependent Kinase 6","ENSG00000105810","Q00534","0.0139367","0.0533648","1.0","By_ingredient","0.3746"
"SMTT00577","CDKN1A","6","Cyclin Dependent Kinase Inhibitor 1A","Cyclin-dependent Kinase Inhibitor 1","ENSG00000124762","P38936","0.0259794","0.0463541","1.0","By_ingredient","0.5157"
"SMTT00578","CDKN1B","12","Cyclin Dependent Kinase Inhibitor 1B","None","ENSG00000111276","None","0.0263731","0.0683043","1.0","By_ingredient","0.3715"
"SMTT00580","CDKN2A","9","Cyclin Dependent Kinase Inhibitor 2A","None","ENSG00000147889","None","0.032916","0.0539574","1.0","By_ingredient","0.1732"
"SMTT00636","CHRM1","None","cholinergic receptor muscarinic 1","Muscarinic Acetylcholine Receptor M1","ENSG00000168539","P11229","2.77479e-22","4.70258e-19","6.23963e-17","By_ingredient","8.4588"
"SMTT00637","CHRM3","1","Cholinergic Receptor Muscarinic 3","Muscarinic Acetylcholine Receptor M3","ENSG00000133019","P20309","1.39209e-24","2.90736e-21","5.75657e-19","By_ingredient","7.6964"
"SMTT00639","CHRNA2","8","Cholinergic Receptor Nicotinic Alpha 2 Subunit","Neuronal Acetylcholine Receptor Subunit Alpha-2","ENSG00000120903","Q15822","5.54043e-07","5.56761e-05","0.229107","By_ingredient","1.7433"
"SMTT00642","CHRNA7","15","Cholinergic Receptor Nicotinic Alpha 7 Subunit","Neuronal Acetylcholine Receptor Subunit Alpha-7","ENSG00000175344","P36544","0.0182827","0.0591276","1.0","By_ingredient","1.2242"
"SMTT00721","COL1A1","17","Collagen Type I Alpha 1 Chain","Collagen Alpha-1(I) Chain","ENSG00000108821","P02452","0.0699632","0.0936856","1.0","By_ingredient","0.1664"
"SMTT00746","COLQ","3","Collagen Like Tail Subunit Of Asymmetric Acetylcholinesterase","None","ENSG00000206561","None","0.0285582","0.0706678","1.0","By_ingredient","0.2152"
"SMTT00782","CRAT","None","carnitine O-acetyltransferase","Carnitine O-acetyltransferase","ENSG00000095321","P43155","0.0165944","0.0350983","1.0","By_ingredient","0.181"
"SMTT00809","CRYZ","None","crystallin zeta","Quinone Oxidoreductase","ENSG00000116791","Q08257","0.0285582","0.0706678","1.0","By_ingredient","0.2019"
"SMTT00811","CSF2","None","colony stimulating factor 2","Granulocyte-macrophage Colony-stimulating Factor","ENSG00000164400","P04141","0.032916","0.0539574","1.0","By_ingredient","0.2198"
"SMTT00838","CTSD","11","Cathepsin D","Cathepsin D","ENSG00000117984","P07339","0.5509","0.582608","1.0","By_ingredient","0.5966"
"SMTT00858","CYCS","7","Cytochrome C, Somatic","Cytochrome C","ENSG00000172115","P99999","0.0275055","0.0481784","1.0","By_ingredient","0.1566"
"SMTT00864","CYP19A1","15","Cytochrome P450 Family 19 Subfamily A Member 1","Aromatase","ENSG00000137869","P11511","0.0751395","0.0991613","1.0","By_ingredient","0.1836"
"SMTT00865","CYP1A1","None","cytochrome P450 family 1 subfamily A member 1","Cytochrome P450 1A1","ENSG00000140465","P04798","1.43993e-05","0.0003674","1.0","By_ingredient","1.0586"
"SMTT00866","CYP1A2","None","cytochrome P450 family 1 subfamily A member 2","Cytochrome P450 1A2","ENSG00000140505","P05177","0.0955611","0.120314","1.0","By_ingredient","0.1542"
"SMTT00867","CYP1B1","2","Cytochrome P450 Family 1 Subfamily B Member 1","Cytochrome P450 1B1","ENSG00000138061","Q16678","0.00180394","0.0225237","1.0","By_ingredient","0.4096"
"SMTT00883","CYP3A4","None","cytochrome P450 family 3 subfamily A member 4","Cytochrome P450 3A4","ENSG00000160868","P08684","0.0128317","0.0304653","1.0","By_ingredient","0.8457"
"SMTT00892","D2HGDH","2","D-2-hydroxyglutarate Dehydrogenase","None","ENSG00000180902","None","0.0425316","0.084074","1.0","By_ingredient","0.3052"
"SMTT00955","DKC1","X","Dyskerin Pseudouridine Synthase 1","None","ENSG00000130826","None","0.0355701","0.0770067","1.0","By_ingredient","0.2073"
"SMTT01018","DRD1","None","dopamine receptor D1","D(1A) Dopamine Receptor","ENSG00000184845","P21728","4.75407e-07","4.91475e-05","0.19659","By_ingredient","1.9989"
"SMTT01019","DRD2","11","Dopamine Receptor D2","D(2) Dopamine Receptor","ENSG00000149295","P14416","0.331232","0.362052","1.0","By_ingredient","0.1851"
"SMTT01057","EDN1","6","Endothelin 1","Endothelin-1","ENSG00000078401","P05305","0.0488322","0.0897499","1.0","By_ingredient","0.3895"
"SMTT01069","EGF","4","Epidermal Growth Factor","Pro-epidermal Growth Factor","ENSG00000138798","P01133","0.0436476","0.0657627","1.0","By_ingredient","0.2224"
"SMTT01084","EIF6","None","eukaryotic translation initiation factor 6","Eukaryotic Translation Initiation Factor 6","ENSG00000242372","P56537","0.149445","0.175552","1.0","By_ingredient","0.156"
"SMTT01086","ELANE","19","Elastase, Neutrophil Expressed","Neutrophil Elastase","ENSG00000197561","P08246","0.022065","0.041685","1.0","By_ingredient","0.3495"
"SMTT01103","ENOX2","None","ecto-NOX disulfide-thiol exchanger 2","Ecto-NOX Disulfide-thiol Exchanger 2","ENSG00000165675","Q16206","0.0425316","0.084074","1.0","By_ingredient","0.1802"
"SMTT01141","ESR1","6","Estrogen Receptor 1","Estrogen Receptor","ENSG00000091831","P03372","0.0189123","0.0601773","1.0","By_ingredient","7.1277"
"SMTT01142","ESR2","None","estrogen receptor 2","Estrogen Receptor Beta","ENSG00000140009","Q92731","0.139097","0.165012","1.0","By_ingredient","2.448"
"SMTT01198","FAR1","11","Fatty Acyl-CoA Reductase 1","None","ENSG00000197601","None","0.014382","0.0541202","1.0","By_ingredient","0.2844"
"SMTT01215","FCER2","None","Fc fragment of IgE receptor II","Low Affinity Immunoglobulin Epsilon Fc Receptor","ENSG00000104921","P06734","0.032916","0.0539574","1.0","By_ingredient","0.1782"
"SMTT01262","FLT1","None","fms related tyrosine kinase 1","Vascular Endothelial Growth Factor Receptor 1","ENSG00000102755","P17948","0.032916","0.0539574","1.0","By_ingredient","0.2061"
"SMTT01264","FLT4","5","Fms Related Tyrosine Kinase 4","Vascular Endothelial Growth Factor Receptor 3","ENSG00000037280","P35916","0.0110935","0.0281227","1.0","By_ingredient","0.2029"
"SMTT01272","FOS","14","Fos Proto-oncogene, AP-1 Transcription Factor Subunit","Proto-oncogene C-Fos","ENSG00000170345","P01100","0.0238667","0.0438898","1.0","By_ingredient","0.5513"
"SMTT01308","FXYD2","11","FXYD Domain Containing Ion Transport Regulator 2","Sodium/potassium-transporting ATPase Subunit Gamma","ENSG00000137731","P54710","0.00556208","0.0199051","1.0","By_ingredient","0.1959"
"SMTT01315","G6PC","17","Glucose-6-phosphatase Catalytic Subunit","None","ENSG00000131482","None","0.022065","0.041685","1.0","By_ingredient","0.1901"
"SMTT01320","GABRA1","5","Gamma-aminobutyric Acid Type A Receptor Alpha1 Subunit","Gamma-aminobutyric Acid Receptor Subunit Alpha-1","ENSG00000022355","P14867","3.27573e-19","3.7732e-16","1.35458e-13","By_ingredient","8.9109"
"SMTT01327","GAD2","None","glutamate decarboxylase 2","Glutamate Decarboxylase 2","ENSG00000136750","Q05329","0.00556208","0.0199051","1.0","By_ingredient","0.2163"
"SMTT01355","GCLC","6","Glutamate-cysteine Ligase Catalytic Subunit","Glutamate--cysteine Ligase Catalytic Subunit","ENSG00000001084","P48506","0.0369355","0.0786416","1.0","By_ingredient","0.3857"
"SMTT01367","GFAP","17","Glial Fibrillary Acidic Protein","None","ENSG00000131095","None","0.032916","0.0539574","1.0","By_ingredient","0.2067"
"SMTT01427","GNPAT","1","Glyceronephosphate O-acyltransferase","None","ENSG00000116906","None","0.0355701","0.0770067","1.0","By_ingredient","0.2755"
"SMTT01464","GRIA2","None","glutamate ionotropic receptor AMPA type subunit 2","Glutamate Receptor 2","ENSG00000120251","P42262","0.000189143","0.00228149","1.0","By_ingredient","1.7815"
"SMTT01483","GSK3B","None","glycogen synthase kinase 3 beta","Glycogen Synthase Kinase-3 Beta","ENSG00000082701","P49841","0.323944","0.354527","1.0","By_ingredient","2.299"
"SMTT01487","GSTA1","None","glutathione S-transferase alpha 1","Glutathione S-transferase A1","ENSG00000243955","P08263","0.00143288","0.0195072","1.0","By_ingredient","0.7924"
"SMTT01489","GSTM1","None","glutathione S-transferase mu 1","Glutathione S-transferase Mu 1","ENSG00000134184","P09488","1.16286e-05","0.000653258","1.0","By_ingredient","0.9545"
"SMTT01490","GSTM2","None","glutathione S-transferase mu 2","Glutathione S-transferase Mu 2","ENSG00000213366","P28161","0.0275055","0.0481784","1.0","By_ingredient","0.1851"
"SMTT01491","GSTP1","None","glutathione S-transferase pi 1","Glutathione S-transferase P","ENSG00000084207","P09211","4.02204e-05","0.00169871","1.0","By_ingredient","1.1188"
"SMTT01518","HBA1","16","Hemoglobin Subunit Alpha 1","Hemoglobin Subunit Alpha","ENSG00000206172","P69905","0.0108841","0.0494015","1.0","By_ingredient","0.5477"
"SMTT01550","HIF1A","None","hypoxia inducible factor 1 alpha subunit","Hypoxia-inducible Factor 1-alpha","ENSG00000100644","Q16665","0.115536","0.141068","1.0","By_ingredient","0.3199"
"SMTT01567","HMGCR","None","3-hydroxy-3-methylglutaryl-CoA reductase","3-hydroxy-3-methylglutaryl-coenzyme A Reductase","ENSG00000113161","P04035","0.00345293","0.0315771","1.0","By_ingredient","0.6677"
"SMTT01569","HMOX1","22","Heme Oxygenase 1","Heme Oxygenase 1","ENSG00000100292","P09601","0.00982662","0.0265111","1.0","By_ingredient","0.5088"
"SMTT01638","ICAM1","None","intercellular adhesion molecule 1","Intercellular Adhesion Molecule 1","ENSG00000090339","P05362","0.0153146","0.0337508","1.0","By_ingredient","0.5162"
"SMTT01652","IFNG","None","interferon gamma","Interferon Gamma","ENSG00000111537","P01579","0.0488322","0.0897499","1.0","By_ingredient","0.4109"
"SMTT01664","IGF1R","15","Insulin Like Growth Factor 1 Receptor","Insulin-like Growth Factor 1 Receptor","ENSG00000140443","P08069","0.0647581","0.0880402","1.0","By_ingredient","0.1543"
"SMTT01665","IGF2","11","Insulin Like Growth Factor 2","None","ENSG00000167244","None","0.022065","0.041685","1.0","By_ingredient","0.1751"
"SMTT01671","IGHG1","None","immunoglobulin heavy constant gamma 1 (G1m marker)","Ig Gamma-1 Chain C Region","None","P01857","0.00112164","0.00788441","1.0","By_ingredient","1.3895"
"SMTT01679","IKBKB","8","Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta","Inhibitor Of Nuclear Factor Kappa-B Kinase Subunit Beta","ENSG00000104365","O14920","0.0436476","0.0657627","1.0","By_ingredient","0.1791"
"SMTT01680","IKBKG","X","Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Gamma","NF-kappa-B Essential Modulator","ENSG00000269335","Q9Y6K9","0.00721689","0.0281227","1.0","By_ingredient","0.2062"
"SMTT01682","IL10","1","Interleukin 10","Interleukin-10","ENSG00000136634","P22301","0.0453063","0.0869024","1.0","By_ingredient","0.3975"
"SMTT01690","IL13","None","interleukin 13","Interleukin-13","ENSG00000169194","P35225","0.022065","0.041685","1.0","By_ingredient","0.1772"
"SMTT01697","IL1B","None","interleukin 1 beta","Interleukin-1 Beta","ENSG00000125538","P01584","0.000128865","0.00395077","1.0","By_ingredient","1.2403"
"SMTT01700","IL2","None","interleukin 2","Interleukin-2","ENSG00000109471","P60568","0.125359","0.151046","1.0","By_ingredient","0.155"
"SMTT01710","IL4","None","interleukin 4","Interleukin-4","ENSG00000113520","P05112","0.144681","0.17067","1.0","By_ingredient","0.1767"
"SMTT01724","INS","11","Insulin","Insulin","ENSG00000254647","P01308","0.0542612","0.0771519","1.0","By_ingredient","0.1797"
"SMTT01726","INSR","19","Insulin Receptor","Insulin Receptor","ENSG00000171105","P06213","0.000453161","0.00414471","1.0","By_ingredient","0.3674"
"SMTT01751","ITGA6","2","Integrin Subunit Alpha 6","None","ENSG00000091409","None","0.0425316","0.084074","1.0","By_ingredient","0.1697"
"SMTT01778","JUN","None","Jun proto-oncogene, AP-1 transcription factor subunit","Transcription Factor AP-1","ENSG00000177606","P05412","0.0476194","0.0780196","1.0","By_ingredient","0.4747"
"SMTT01803","KCNH2","7","Potassium Voltage-gated Channel Subfamily H Member 2","Potassium Voltage-gated Channel Subfamily H Member 2","ENSG00000055118","Q12809","0.0106089","0.0275226","1.0","By_ingredient","1.2218"
"SMTT01833","KDR","4","Kinase Insert Domain Receptor","Vascular Endothelial Growth Factor Receptor 2","ENSG00000128052","P35968","0.0181597","0.0371123","1.0","By_ingredient","0.7596"
"SMTT01924","LCAT","16","Lecithin-cholesterol Acyltransferase","None","ENSG00000213398","None","0.00556208","0.0199051","1.0","By_ingredient","0.1793"
"SMTT02005","LYZ","12","Lysozyme","Lysozyme C","ENSG00000090382","P61626","1.02866e-06","9.37976e-05","0.425372","By_ingredient","2.5534"
"SMTT02024","MAOA","X","Monoamine Oxidase A","Amine Oxidase [flavin-containing] A","ENSG00000189221","P21397","0.000758052","0.00595737","1.0","By_ingredient","1.4467"
"SMTT02025","MAOB","None","monoamine oxidase B","Amine Oxidase [flavin-containing] B","ENSG00000069535","P27338","4.34652e-06","0.000149128","0.384453","By_ingredient","3.2523"
"SMTT02038","MAPK8","None","mitogen-activated protein kinase 8","Mitogen-activated Protein Kinase 8","ENSG00000107643","P45983","0.105604","0.130747","1.0","By_ingredient","0.1705"
"SMTT02062","MCL1","None","MCL1, BCL2 family apoptosis regulator","Induced Myeloid Leukemia Cell Differentiation Protein Mcl-1","ENSG00000143384","Q07820","0.0542612","0.0771519","1.0","By_ingredient","0.1589"
"SMTT02070","MDM2","12","MDM2 Proto-oncogene","E3 Ubiquitin-protein Ligase Mdm2","ENSG00000135679","Q00987","0.032916","0.0539574","1.0","By_ingredient","0.1656"
"SMTT02095","MGAM","None","maltase-glucoamylase","Maltase-glucoamylase, Intestinal","ENSG00000257335","O43451","0.0595242","0.0826435","1.0","By_ingredient","0.2259"
"SMTT02132","MMP1","11","Matrix Metallopeptidase 1","Interstitial Collagenase","ENSG00000196611","P03956","0.000311135","0.00322256","1.0","By_ingredient","0.4935"
"SMTT02143","MMP9","20","Matrix Metallopeptidase 9","Matrix Metalloproteinase-9","ENSG00000100985","P14780","0.0238667","0.0438898","1.0","By_ingredient","0.5766"
"SMTT02168","MS4A2","None","membrane spanning 4-domains A2","High Affinity Immunoglobulin Epsilon Receptor Subunit Beta","ENSG00000149534","Q01362","0.0165944","0.0350983","1.0","By_ingredient","0.2096"
"SMTT02194","MUC1","1","Mucin 1, Cell Surface Associated","None","ENSG00000185499","None","0.0214956","0.0635209","1.0","By_ingredient","0.192"
"SMTT02203","MYC","8","MYC Proto-oncogene, BHLH Transcription Factor","Myc Proto-oncogene Protein","ENSG00000136997","P01106","0.00913162","0.0256322","1.0","By_ingredient","0.5584"
"SMTT02239","NALCN","13","Sodium Leak Channel, Non-selective","None","ENSG00000102452","None","0.0214956","0.0635209","1.0","By_ingredient","0.2058"
"SMTT02251","NCOA1","None","nuclear receptor coactivator 1","Nuclear Receptor Coactivator 1","ENSG00000084676","Q15788","0.668593","0.696737","1.0","By_ingredient","0.5932"
"SMTT02312","NFKB1","4","Nuclear Factor Kappa B Subunit 1","Nuclear Factor NF-kappa-B P105 Subunit","ENSG00000109320","P19838","0.0073687","0.0422276","1.0","By_ingredient","0.7109"
"SMTT02314","NFKBIA","14","NFKB Inhibitor Alpha","NF-kappa-B Inhibitor Alpha","ENSG00000100906","P25963","0.172874","0.199713","1.0","By_ingredient","0.1492"
"SMTT02349","NOS2","None","nitric oxide synthase 2","Nitric Oxide Synthase, Inducible","ENSG00000007171","P35228","0.0115741","0.0500184","1.0","By_ingredient","5.28"
"SMTT02350","NOS3","None","nitric oxide synthase 3","Nitric Oxide Synthase, Endothelial","ENSG00000164867","P29474","0.105604","0.130747","1.0","By_ingredient","0.5654"
"SMTT02374","NR1I2","None","nuclear receptor subfamily 1 group I member 2","Nuclear Receptor Subfamily 1 Group I Member 2","ENSG00000144852","O75469","0.00845969","0.0245693","1.0","By_ingredient","0.382"
"SMTT02375","NR1I3","None","nuclear receptor subfamily 1 group I member 3","Nuclear Receptor Subfamily 1 Group I Member 3","ENSG00000143257","Q14994","0.022065","0.041685","1.0","By_ingredient","0.1829"
"SMTT02379","NR3C1","5","Nuclear Receptor Subfamily 3 Group C Member 1","Glucocorticoid Receptor","ENSG00000113580","P04150","0.794909","0.816291","1.0","By_ingredient","1.5935"
"SMTT02380","NR3C2","4","Nuclear Receptor Subfamily 3 Group C Member 2","Mineralocorticoid Receptor","ENSG00000151623","P08235","0.535404","0.567251","1.0","By_ingredient","0.4951"
"SMTT02417","ODC1","None","ornithine decarboxylase 1","Ornithine Decarboxylase","ENSG00000115758","P11926","0.0854068","0.109799","1.0","By_ingredient","0.1566"
"SMTT02428","OPRD1","None","opioid receptor delta 1","Delta-type Opioid Receptor","ENSG00000116329","P41143","0.75423","0.777986","1.0","By_ingredient","0.3524"
"SMTT02469","PARK7","1","Parkinsonism Associated Deglycase","Protein Deglycase DJ-1","ENSG00000116288","Q99497","0.0425316","0.084074","1.0","By_ingredient","0.2076"
"SMTT02495","PCYT1A","3","Phosphate Cytidylyltransferase 1, Choline, Alpha","Choline-phosphate Cytidylyltransferase A","ENSG00000161217","P49585","0.00556208","0.0199051","1.0","By_ingredient","0.1925"
"SMTT02499","PDE3A","12","Phosphodiesterase 3A","CGMP-inhibited 3',5'-cyclic Phosphodiesterase A","ENSG00000172572","Q14432","0.00236234","0.0257383","1.0","By_ingredient","1.6189"
"SMTT02500","PDE4A","None","phosphodiesterase 4A","CAMP-specific 3',5'-cyclic Phosphodiesterase 4A","ENSG00000065989","P27815","0.0355701","0.0770067","1.0","By_ingredient","0.2557"
"SMTT02550","PGR","11","Progesterone Receptor","Progesterone Receptor","ENSG00000082175","P06401","0.330039","0.360782","1.0","By_ingredient","0.7836"
"SMTT02604","PLAU","10","Plasminogen Activator, Urokinase","Urokinase-type Plasminogen Activator","ENSG00000122861","P00749","0.000671705","0.00542962","1.0","By_ingredient","0.6241"
"SMTT02617","PLK1","None","polo like kinase 1","Serine/threonine-protein Kinase PLK1","ENSG00000166851","P53350","0.0110935","0.0281227","1.0","By_ingredient","0.175"
"SMTT02651","POLD1","19","DNA Polymerase Delta 1, Catalytic Subunit","None","ENSG00000062822","None","0.000102856","0.00334902","1.0","By_ingredient","0.7127"
"SMTT02681","PPARG","3","Peroxisome Proliferator Activated Receptor Gamma","Peroxisome Proliferator-activated Receptor Gamma","ENSG00000132170","P37231","0.0120472","0.0293809","1.0","By_ingredient","2.1518"
"SMTT02696","PPP3CA","None","protein phosphatase 3 catalytic subunit alpha","Serine/threonine-protein Phosphatase 2B Catalytic Subunit Alpha Isoform","ENSG00000138814","Q08209","0.00224423","0.0251622","1.0","By_ingredient","0.3882"
"SMTT02717","PRKCA","None","protein kinase C alpha","Protein Kinase C Alpha Type","ENSG00000154229","P17252","0.0489691","0.0713972","1.0","By_ingredient","0.1843"
"SMTT02718","PRKCB","None","protein kinase C beta","Protein Kinase C Beta Type","ENSG00000166501","P05771","0.0105444","0.0274714","1.0","By_ingredient","0.3278"
"SMTT02719","PRKCD","3","Protein Kinase C Delta","Protein Kinase C Delta Type","ENSG00000163932","Q05655","0.0382966","0.0600201","1.0","By_ingredient","0.211"
"SMTT02720","PRKCE","None","protein kinase C epsilon","Protein Kinase C Epsilon Type","ENSG00000171132","Q02156","0.0165944","0.0350983","1.0","By_ingredient","0.2284"
"SMTT02721","PRKCG","19","Protein Kinase C Gamma","Protein Kinase C Gamma Type","ENSG00000126583","P05129","0.0165944","0.0350983","1.0","By_ingredient","0.2095"
