Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value,"간경변 (Liver Cirrhosis, Experimental)",조현병 (Schizophrenia),"실험적 당뇨병 (Diabetes Mellitus, Experimental)"
SMTT02101,MGST1,None,microsomal glutathione S-transferase 1,Microsomal Glutathione S-transferase 1,ENSG00000008394,P10620,0.00785322,0.0435328,1,By_ingredient,0.4222,,,
SMTT01488,GSTA2,None,glutathione S-transferase alpha 2,Glutathione S-transferase A2,ENSG00000244067,P09210,0.016523,0.0573466,1,By_ingredient,0.4167,,,
SMTT01166,F13A1,6,Coagulation Factor XIII A Chain,Coagulation Factor XIII A Chain,ENSG00000124491,P00488,0.0321166,0.0740564,1,By_ingredient,0.4155,,,
SMTT00851,CXCL8,None,C-X-C motif chemokine ligand 8,Interleukin-8,ENSG00000169429,P10145,0.258429,0.287522,1,By_ingredient,0.4097,,,
SMTT02142,MMP8,None,matrix metallopeptidase 8,Neutrophil Collagenase,ENSG00000118113,P22894,0.0286554,0.0494593,1,By_ingredient,0.4068,,,
SMTT02540,PFKM,12,"Phosphofructokinase, Muscle",None,ENSG00000152556,None,0.000112118,0.00158595,1,By_ingredient,0.4039,,,
SMTT00864,CYP19A1,15,Cytochrome P450 Family 19 Subfamily A Member 1,Aromatase,ENSG00000137869,P11511,0.0133221,0.052283,1,By_ingredient,0.4008,,,
SMTT09463,PRKAB1,None,protein kinase AMP-activated non-catalytic subunit beta 1,None,ENSG00000111725,None,0.0343532,0.0759165,1,By_ingredient,0.3997,,,
SMTT03648,TYR,11,Tyrosinase,Tyrosinase,ENSG00000077498,P14679,0.129564,0.155314,1,By_ingredient,0.3995,,,
SMTT00895,DAO,12,D-amino Acid Oxidase,D-amino-acid Oxidase,ENSG00000110887,P14920,0.0133221,0.052283,1,By_ingredient,0.3977,,,
SMTT01485,GSR,None,glutathione-disulfide reductase,"Glutathione Reductase, Mitochondrial",ENSG00000104687,P00390,0.00578952,0.0204115,1,By_ingredient,0.3965,,,
SMTT01456,GPT,None,glutamic--pyruvic transaminase,Alanine Aminotransferase 1,ENSG00000167701,P24298,0.0856488,0.110086,1,By_ingredient,0.395,,,
SMTT02594,PKLR,1,Pyruvate Kinase L/R,Pyruvate Kinase PKLR,ENSG00000143627,P30613,0.0107488,0.027676,1,By_ingredient,0.3925,,,
SMTT01446,GPHN,14,Gephyrin,Gephyrin,ENSG00000171723,Q9NQX3,0.0148852,0.055157,1,By_ingredient,0.3817,,,
SMTT03893,DIO1,1,Iodothyronine Deiodinase 1,None,ENSG00000211452,P49895,0.00372576,0.0322215,1,By_ingredient,0.3785,,,
SMTT02248,NCF1,7,Neutrophil Cytosolic Factor 1,Neutrophil Cytosol Factor 1,ENSG00000158517,P14598,0.0620248,0.0852515,1,By_ingredient,0.3759,,,
SMTT01697,IL1B,None,interleukin 1 beta,Interleukin-1 Beta,ENSG00000125538,P01584,0.381662,0.413141,1,By_ingredient,0.375,1,,
SMTT04564,ALDH9A1,None,aldehyde dehydrogenase 9 family member A1,None,ENSG00000143149,None,0.021868,0.0637567,1,By_ingredient,0.3741,,,
SMTT00103,ADRA2A,None,adrenoceptor alpha 2A,Alpha-2A Adrenergic Receptor,ENSG00000150594,P08913,0.806732,0.827211,1,By_ingredient,0.3736,,,
SMTT04733,ARF1,None,ADP ribosylation factor 1,None,ENSG00000143761,None,0.0237879,0.0654641,1,By_ingredient,0.372,,,
SMTT05515,CHDH,None,choline dehydrogenase,None,ENSG00000016391,None,0.021868,0.0637567,1,By_ingredient,0.3713,,,
SMTT00049,ACE,17,Angiotensin I Converting Enzyme,Angiotensin-converting Enzyme,ENSG00000159640,P12821,0.0133221,0.052283,1,By_ingredient,0.3712,,,
SMTT01468,GRIN1,9,Glutamate Ionotropic Receptor NMDA Type Subunit 1,"Glutamate Receptor Ionotropic, NMDA 1",ENSG00000176884,Q05586,0.0414099,0.0830129,1,By_ingredient,0.3704,,,
SMTT01710,IL4,None,interleukin 4,Interleukin-4,ENSG00000113520,P05112,0.0353674,0.0567804,1,By_ingredient,0.3681,,,
SMTT02769,PTEN,10,Phosphatase And Tensin Homolog,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase And Dual-specificity Protein Phosphatase PTEN",ENSG00000171862,P60484,0.0489568,0.0898805,1,By_ingredient,0.3679,,,
SMTT02157,MPO,17,Myeloperoxidase,Myeloperoxidase,ENSG00000005381,P05164,0.0187866,0.0378837,1,By_ingredient,0.3667,,,
SMTT01406,GLUL,1,Glutamate-ammonia Ligase,Glutamine Synthetase,ENSG00000135821,P15104,0.00163518,0.0102342,1,By_ingredient,0.3618,,,
SMTT02314,NFKBIA,14,NFKB Inhibitor Alpha,NF-kappa-B Inhibitor Alpha,ENSG00000100906,P25963,0.304489,0.334631,1,By_ingredient,0.3618,,,
SMTT01426,GNMT,6,Glycine N-methyltransferase,Glycine N-methyltransferase,ENSG00000124713,Q14749,0.0170255,0.0357281,1,By_ingredient,0.3595,,,
SMTT02375,NR1I3,None,nuclear receptor subfamily 1 group I member 3,Nuclear Receptor Subfamily 1 Group I Member 3,ENSG00000143257,Q14994,0.000663318,0.00538319,1,By_ingredient,0.3582,,,
SMTT03028,SELE,None,selectin E,E-selectin,ENSG00000007908,P16581,0.0121992,0.0295348,1,By_ingredient,0.3581,,,
SMTT02430,OPRM1,None,opioid receptor mu 1,Mu-type Opioid Receptor,ENSG00000112038,P35372,0.96905,0.974519,1,By_ingredient,0.3564,,,
SMTT01330,GALE,1,UDP-galactose-4-epimerase,UDP-glucose 4-epimerase,ENSG00000117308,Q14376,0.0148852,0.055157,1,By_ingredient,0.3542,,,
SMTT00558,CDC25B,None,cell division cycle 25B,M-phase Inducer Phosphatase 2,ENSG00000101224,P30305,0.0353674,0.0567804,1,By_ingredient,0.3531,,,
SMTT00838,CTSD,11,Cathepsin D,Cathepsin D,ENSG00000117984,P07339,0.449649,0.481849,1,By_ingredient,0.3515,,,
SMTT01489,GSTM1,None,glutathione S-transferase mu 1,Glutathione S-transferase Mu 1,ENSG00000134184,P09488,0.00578952,0.0204115,1,By_ingredient,0.351,,,
SMTT02027,MAP2,None,microtubule associated protein 2,Microtubule-associated Protein 2,ENSG00000078018,P11137,0.000663318,0.00538319,1,By_ingredient,0.3493,,,
SMTT04057,SREBF2,22,Sterol Regulatory Element Binding Transcription Factor 2,None,ENSG00000198911,Q12772,0.020016,0.0406086,1,By_ingredient,0.3442,,,
SMTT02772,PTGER3,None,prostaglandin E receptor 3,Prostaglandin E2 Receptor EP3 Subtype,ENSG00000050628,P43115,0.00300986,0.0148459,1,By_ingredient,0.3425,,,
SMTT04521,AGXT2,None,alanine--glyoxylate aminotransferase 2,None,ENSG00000113492,None,0.046389,0.0877717,1,By_ingredient,0.3422,,,
SMTT00010,ABAT,16,4-aminobutyrate Aminotransferase,"4-aminobutyrate Aminotransferase, Mitochondrial",ENSG00000183044,P80404,0.267311,0.296565,1,By_ingredient,0.342,,,
SMTT01926,LCT,2,Lactase,Lactase-phlorizin Hydrolase,ENSG00000115850,P09848,0.0121992,0.0295348,1,By_ingredient,0.342,,,
SMTT01084,EIF6,None,eukaryotic translation initiation factor 6,Eukaryotic Translation Initiation Factor 6,ENSG00000242372,P56537,0.266311,0.295544,1,By_ingredient,0.3391,,,
SMTT02651,POLD1,19,"DNA Polymerase Delta 1, Catalytic Subunit",None,ENSG00000062822,None,0.0489568,0.0898805,1,By_ingredient,0.3384,,,
SMTT08605,NFS1,None,"NFS1, cysteine desulfurase",None,ENSG00000244005,None,0.0414099,0.0830129,1,By_ingredient,0.3382,,,
SMTT01501,GUSB,7,Glucuronidase Beta,None,ENSG00000169919,None,0.00109779,0.00776223,1,By_ingredient,0.3363,,,
SMTT02038,MAPK8,None,mitogen-activated protein kinase 8,Mitogen-activated Protein Kinase 8,ENSG00000107643,P45983,0.192261,0.219705,1,By_ingredient,0.3352,,,
SMTT02368,NQO1,None,NAD(P)H quinone dehydrogenase 1,NAD(P)H Dehydrogenase [quinone] 1,ENSG00000181019,P15559,0.091586,0.116212,1,By_ingredient,0.3334,,,
SMTT00147,ALAD,9,Aminolevulinate Dehydratase,Delta-aminolevulinic Acid Dehydratase,ENSG00000148218,P13716,0.00300986,0.0148459,1,By_ingredient,0.3285,,,
SMTT03085,SI,3,Sucrase-isomaltase,"Sucrase-isomaltase, Intestinal",ENSG00000090402,P14410,0.000663318,0.00538319,1,By_ingredient,0.3272,,,
SMTT00142,AKR1C3,None,aldo-keto reductase family 1 member C3,Aldo-keto Reductase Family 1 Member C3,ENSG00000196139,P42330,0.0719834,0.0957944,1,By_ingredient,0.323,,,
SMTT04266,CDC2,None,Cell Division Control Protein 2 Homolog,None,None,P06493,0.0321166,0.0594415,1,By_ingredient,0.3224,,,
SMTT02717,PRKCA,None,protein kinase C alpha,Protein Kinase C Alpha Type,ENSG00000154229,P17252,0.0489568,0.0898805,1,By_ingredient,0.3212,,,
SMTT03447,TGFB1,19,Transforming Growth Factor Beta 1,Transforming Growth Factor Beta-1,ENSG00000105329,P01137,0.242411,0.271096,1,By_ingredient,0.3084,1,,
SMTT02132,MMP1,11,Matrix Metallopeptidase 1,Interstitial Collagenase,ENSG00000196611,P03956,0.226048,0.254343,1,By_ingredient,0.3051,,,
SMTT00866,CYP1A2,None,cytochrome P450 family 1 subfamily A member 2,Cytochrome P450 1A2,ENSG00000140505,P05177,0.0153394,0.0337961,1,By_ingredient,0.3016,,,
SMTT03988,NFATC3,16,Nuclear Factor Of Activated T Cells 3,None,ENSG00000072736,Q12968,0.0315064,0.0524247,1,By_ingredient,0.2935,,,
SMTT04089,PARG,10,Poly(ADP-ribose) Glycohydrolase,None,ENSG00000227345,Q86W56,0.0106139,0.0275226,1,By_ingredient,0.2718,,,
SMTT02106,MIF,22,Macrophage Migration Inhibitory Factor,Macrophage Migration Inhibitory Factor,ENSG00000240972,P14174,0.0211156,0.0406086,1,By_ingredient,0.2554,,,
SMTT06535,FAXDC2,None,fatty acid hydroxylase domain containing 2,None,ENSG00000170271,None,0.0207743,0.0623143,1,By_ingredient,0.2494,,,
SMTT03968,LBP,20,Lipopolysaccharide Binding Protein,None,ENSG00000129988,P18428,0.0106139,0.0275226,1,By_ingredient,0.2489,,,
SMTT03585,TRPM1,15,Transient Receptor Potential Cation Channel Subfamily M Member 1,None,ENSG00000134160,None,0.0411186,0.0827307,1,By_ingredient,0.2488,,,
SMTT02168,MS4A2,None,membrane spanning 4-domains A2,High Affinity Immunoglobulin Epsilon Receptor Subunit Beta,ENSG00000149534,Q01362,0.0309996,0.0728543,1,By_ingredient,0.2464,,,
SMTT01171,F5,1,Coagulation Factor V,Coagulation Factor V,ENSG00000198734,P12259,0.0106139,0.0275226,1,By_ingredient,0.2445,,,
SMTT11622,UBE2G1,None,ubiquitin conjugating enzyme E2 G1,None,ENSG00000132388,None,0.0309996,0.0728543,1,By_ingredient,0.2408,,,
SMTT04143,SGK3,8,Serum/glucocorticoid Regulated Kinase Family Member 3,None,ENSG00000104205,Q96BR1,0.0104415,0.0482577,1,By_ingredient,0.2384,,,
SMTT07025,GRK6,None,G protein-coupled receptor kinase 6,None,ENSG00000198055,None,0.0411186,0.0827307,1,By_ingredient,0.2375,,,
SMTT11633,UBE2R2,None,ubiquitin conjugating enzyme E2 R2,None,ENSG00000107341,None,0.0309996,0.0728543,1,By_ingredient,0.2375,,,
SMTT11624,UBE2I,None,ubiquitin conjugating enzyme E2 I,None,ENSG00000103275,None,0.0411186,0.0827307,1,By_ingredient,0.235,,,
SMTT11625,UBE2J1,None,ubiquitin conjugating enzyme E2 J1,None,ENSG00000198833,None,0.0309996,0.0728543,1,By_ingredient,0.2343,,,
SMTT11637,UBE2W,None,ubiquitin conjugating enzyme E2 W,None,ENSG00000104343,None,0.0411186,0.0827307,1,By_ingredient,0.2336,,,
SMTT01170,F3,None,"coagulation factor III, tissue factor",Tissue Factor,ENSG00000117525,P13726,0.147955,0.174024,1,By_ingredient,0.233,,,
SMTT04059,KLF7,2,Kruppel Like Factor 7,None,ENSG00000118263,O75840,0.0411186,0.0827307,1,By_ingredient,0.2329,,,
SMTT03654,UBE2A,X,Ubiquitin Conjugating Enzyme E2 A,None,ENSG00000077721,None,0.0309996,0.0728543,1,By_ingredient,0.2317,,,
SMTT11615,UBE2D3,None,ubiquitin conjugating enzyme E2 D3,None,ENSG00000109332,None,0.0411186,0.0827307,1,By_ingredient,0.2283,,,
SMTT03537,TPO,2,Thyroid Peroxidase,Thyroid Peroxidase,ENSG00000115705,P07202,0.0417875,0.0637458,1,By_ingredient,0.2277,,,
SMTT04265,NO66,None,Lysine-specific Demethylase NO66,None,None,Q9H6W3,0.0207743,0.0406086,1,By_ingredient,0.2276,,,
SMTT11634,UBE2S,None,ubiquitin conjugating enzyme E2 S,None,ENSG00000108106,None,0.0309996,0.0728543,1,By_ingredient,0.2231,,,
SMTT01985,LRP1,None,LDL receptor related protein 1,Prolow-density Lipoprotein Receptor-related Protein 1,ENSG00000123384,Q07954,0.0106139,0.0275226,1,By_ingredient,0.2226,,,
SMTT11626,UBE2K,None,ubiquitin conjugating enzyme E2 K,None,ENSG00000078140,None,0.0309996,0.0728543,1,By_ingredient,0.2225,,,
SMTT03579,TRNT1,3,tRNA Nucleotidyl Transferase 1,None,ENSG00000072756,None,0.0411186,0.0827307,1,By_ingredient,0.2224,,,
